address,latitude,longitude
"8728 CORBIN AVE, NORTHRIDGE 91324",34.2289767,-118.5621274
"4011 DUNSMORE AVE, LA CRESCENTA 91214",34.2264178,-118.2576434
"13140 6TH ST, CHINO 91710",34.014681,-117.692174
"955 W FOOTHILL BLVD, UPLAND 91786",34.1071499,-117.6653379
"585 E COLORADO BLVD, PASADENA 91101",34.1462613,-118.1389268
"2518 W BEVERLY BLVD, MONTEBELLO 90640",34.0211861,-118.1295268
"140 E PALM, MONROVIA 91016",34.1489022,-117.999351
"15911 E MAIN ST, LA PUENTE 91744",34.0204568,-117.951041
"510 S 2ND AVE, COVINA 91723",34.080639,-117.8874201
"185 W ALTADENA DR, ALTADENA 91001",34.1957442,-118.1508922
"12336 PENN ST, WHITTIER 90602",33.9753225,-118.0454134
"626 N ROBERTSON BLVD, LOS ANGELES 90069",34.0816915,-118.3852512
"934 N MOUNTAIN, UPLAND 91786",34.1056516,-117.6684702
"1424  FREMONT AVE, SOUTH PASADENA 91030",34.1090573,-118.1530133
"524 E PASADENA ST, POMONA 91767",34.0636541,-117.7411032
"2325 EAST 3RD ST, LONG BEACH 90802",33.7683371,-118.1647636
"5881 CHERRY AVE, LONG BEACH 90805",33.861692,-118.168894
"101 W LA HABRA BLVD, LA HABRA 90631",33.9325289,-117.9471125
"300 N BALDWIN AVE, ARCADIA 91007",34.1442566,-118.0501583
"17751 SHERMAN WAY, RESEDA 91335",34.2012094,-118.520419
"1655 BERKELEY AVE, POMONA 91768",34.0789119,-117.7595358
"13650 MINDANAO WAY, MARINA DEL REY 90292",33.9773354,-118.4449661
"6500 DEL AMO BLVD, LAKEWOOD 90713",33.8465685,-118.1045398
"650 N BERENDO ST, HOLLYWOOD 90004",34.0832178,-118.2938412
"702 11TH PL, HERMOSA BEACH 90254",33.8635004,-118.3937116
"12130 BIRCH AVE, HAWTHORNE 90250",33.9222424,-118.34998
"12720 WASHINGTON BLVD, LOS ANGELES 90066",33.9966602,-118.4352412
"21044 SHERMAN WAY, CANOGA PARK 91303",34.2006846,-118.5922424
"2667 N MOORPARK RD #105, THOUSAND OAKS 91360",34.217054,-118.868852
"2900 SUNSET BLVD, SILVERLAKE 90026",34.0827913,-118.2736106
"26111 BOUQUET CYN, SANTA CLARITA 91350",34.4179498,-118.542049
"2001 S PACIFIC AVE, SAN PEDRO 90731",33.7259247,-118.2881944
"243 S BROADWAY, REDONDO BEACH 90277",33.838648,-118.3871395
"5300 CREST RD, RANCHO PALOS VERDES 90274",33.7623675,-118.3668308
"8021 E ROSECRANS AVE, PARAMOUNT 90723",33.9042238,-118.1593453
"15215 SUNSET BLVD, PACIFIC PALISADES 90272",34.0466441,-118.524474
"901 HAVERFORD AVE, PACIFIC PALISADES 90272",34.0472589,-118.5286443
"5000 COLFAX AVE, NORTH HOLLYWOOD 91601",34.16175,-118.3870227
"10641 BURBANK BLVD, NORTH HOLLYWOOD 91601",34.1723814,-118.362972
"11031 CAMARILLO ST, NORTH HOLLYWOOD 91602",34.157985,-118.3717902
"24250 PACIFIC COAST HWY, MALIBU 90265",34.0339459,-118.7039173
"6400 E PCH, LONG BEACH 90803",33.7560294,-118.1103216
"4311 W 147TH ST, LAWNDALE 90260",33.898598,-118.350933
"9604 S FIGUEROA ST, LOS ANGELES 90003",33.9489127,-118.2824144
"4808 CRENSHAW BLVD, LOS ANGELES 90043",33.9997073,-118.3302807
"25401 S WESTERN AVE, HARBOR CITY 90717",33.793515,-118.3079381
"123 W WINDSOR RD, GLENDALE 91204",34.1368748,-118.2561702
"315 VINE ST, GLENDALE 91204",34.141088,-118.258575
"1161 E COVINA BLVD, COVINA 91724",34.1003274,-117.8668073
"401 N BULLIS RD, COMPTON 90221",33.898441,-118.207004
"3367 GLENDALE BLVD, ATWATER 90039",34.1200059,-118.2593353
"29295 AGOURA RD, AGOURA 91301",34.144005,-118.763553
"11042 VENTURA BLVD, STUDIO CITY 91604",34.1405619,-118.3714303
"3301 W PICO BLVD, SANTA MONICA 90066",34.0269553,-118.4555966
"11530 W PICO BLVD, LOS ANGELES 90064",34.0330148,-118.4426047
"108 W 2ND ST, LOS ANGELES 90012",34.051003,-118.2450176
"1018 HILGARD AVE, WESTWOOD 90024",34.0610558,-118.4415038
"621 N ROBERTSON BLVD, LOS ANGELES 90069",34.0814545,-118.3857426
"1773 GRIFFITH PARK BLVD, SILVERLAKE 90026",34.0954203,-118.276637
"1001 A COLORADO BLVD, SANTA MONICA 90401",34.0186695,-118.4862667
"457 N FAIRFAX, LOS ANGELES 90048",34.0798347,-118.3617254
"7501 HOLLYWOOD BLVD, HOLLYWOOD 90046",34.1019397,-118.3530847
"424 N  CANON DR, BEVERLY HILLS 90210",34.0712928,-118.4012363
"1645 ARLINGTON AVE, TORRANCE 90501",33.8315554,-118.3180051
"13245 GLADSTONE AVE, SYLMAR 91342",34.3116227,-118.4296508
"411 W 10TH ST, SAN PEDRO 90731",33.7349875,-118.2859555
"1249 VINE ST, HOLLYWOOD 90038",34.0938659,-118.326975
"414 LINCOLN BLVD, VENICE 90291",34.0007225,-118.4660436
"12355 MOORPARK ST, STUDIO CITY 91604",34.1506819,-118.402608
"11455 CHANDLER BLVD, NORTH HOLLYWOOD 91601",34.169079,-118.3807619
"24307 RAILROAD AVE, NEWHALL 91321",34.3790413,-118.5275288
"509 W AVE H-8, LANCASTER 93534",34.7109565,-118.1398461
"21338 DUMETZ RD, WOODLAND HILLS 91364",34.1569712,-118.5959622
"6410 PALOS VERDES DR SOUTH, RANCHO PALOS VERDES 90275",33.744673,-118.389039
"835 E 33RD ST, LONG BEACH 90755",33.8172238,-118.1820757
"4117 OVERLAND AVE, CULVER CITY 90230",34.012953,-118.4026083
"727 HARRISON AVE, CLAREMONT 91711",34.0992869,-117.7268317
"505 N BEDFORD DRIVE, BEVERLY HILLS 90210",34.069722,-118.4073437
"6425 TYRONE AVE, VAN NUYS 91401",34.1870654,-118.4446243
"130 W BRUNO ST, LOS ANGELES 90012",34.0622813,-118.2356749
"530 W COMMONWEALTH, FULLERTON 92832",33.8700769,-117.9344598
"7299 MANCHESTER AVE, WESTCHESTER 90045",33.960089,-118.4219789
"9015 W SUNSET BLVD, LOS ANGELES 90069",34.0909078,-118.3882145
"5934 TEMPLE CITY BLVD, TEMPLE CITY 91780",34.1077923,-118.0608633
"4525 INDUSTRIAL ST, SIMI 93063",34.2735608,-118.7066502
"26TH ST  and  BROADWAY, SANTA MONICA 90404",34.0319538,-118.4726902
"160 N EL MOLINO AVE, PASADENA 91101",34.1487732,-118.1367094
"30128 MORNING VIEW DR, MALIBU 90265",34.0219015,-118.8269653
"3401 SERRA RD, MALIBU 90265",34.0451268,-118.6818947
"10800 W PICO BLVD, LOS ANGELES 90064",34.0401391,-118.4274689
"1233 E 4TH ST, LONG BEACH 90802",33.7718027,-118.1755792
"340 ST ANNES DR, LAGUNA BEACH 92651",33.5376821,-117.777883
"663 S BERENDO ST, LOS ANGELES 90005",34.061186,-118.29427
"1730 W OLYMPIC, LOS ANGELES 90015",34.0498585,-118.2763978
"255 S HILL ST, LOS ANGELES 90012",34.0518361,-118.2496059
"6909 S RUGBY, HUNTINGTON PARK 90255",33.9766068,-118.2267781
"PARK BANDSHELL, CULLEN AVE, NORTH OF FOOTHILL, GLENDORA 91741",34.1361187,-117.865339
"17200 VENTURA BLVD, ENCINO 91316",34.1598625,-118.5077085
"10544 DOWNEY AVE, DOWNEY 90023",33.9461759,-118.1285174
"611 HELIOTROPE AVE, CORONA DEL MAR 92625",33.6009171,-117.8718283
"424 E COMPTON BLVD, COMPTON 90221",33.8957985,-118.2181738
